id,price,moonRank,rank,background,skin,hair,mouth,eyes,eyebrows,clothes,headAccessory,faceAccessory,glasses,rarityURL,solanartURL
1027,0.5,442,1100,Solana1,White,Ponytail Brown,Pink,White,Scar,Tshirt,,Bandaids,Glasses Solana,https://gloom-rarity-page.vercel.app/punk/1027,https://solanart.io/search/?token=4xGDX71xkTW3YeXufr6sfKHtiLbVEbErFJQGUaoD7vNv
3030,0.5,1956,1829,Purple Flat,Black,Bob White,Pink,Purple,Thin,Tank Top,,,Glasses Solana,https://gloom-rarity-page.vercel.app/punk/3030,https://solanart.io/search/?token=6qYNWbTBXrJKvTRWinCunmUQxF8ascqmZ1W5hADwnKkv
3699,0.5,2114,2182,Pastel,Black,Ponytail Brown,Black,Teal,Thin,Tshirt,Helix Hat,Gasmask Gunmetal,,https://gloom-rarity-page.vercel.app/punk/3699,https://solanart.io/search/?token=GwFRamYwkuEKYK4sqyTnpcDCpg6AeAEcAQJkLuvGSeU8
9314,1,671,741,Yellow,White,Ponytail Teal,Pink Fangs,Blue,Thin,Tshirt,Helix Hat,Gasmask Teal,,https://gloom-rarity-page.vercel.app/punk/9314,https://solanart.io/search/?token=3iYvRuqptLpZ4URkB5Ci7m4zzRmPH7sx8csH5qPpnqFX
5675,1,673,824,Green,White,Ponytail Pink,Gold,Teal,Thin,Turtleneck,Helix Hat,Gasmask Gunmetal,,https://gloom-rarity-page.vercel.app/punk/5675,https://solanart.io/search/?token=94rzDBkBssWTLRsccbuwMfVicJyXCk11gteQTMdKtC3A
7948,1,755,932,Purple Flat,Black,Ponytail Black,Black,Teal,Arched,Tank Top,Horns,Gasmask Gunmetal,,https://gloom-rarity-page.vercel.app/punk/7948,https://solanart.io/search/?token=Cjfuw7MVKbG57guoF4RbZv6qk7FC3DEexb2rgirkv2DK
8080,1.39,327,166,Yellow,White,Bald,Black,Purple,Small,Turtleneck,Bird,Facemask,,https://gloom-rarity-page.vercel.app/punk/8080,https://solanart.io/search/?token=2uazPYr4JKYLfzeo3sJKTQs8v3VkRmpBDFLrx49rst2f
5689,1.5,827,405,Yellow Flat,Black,Ponytail Pink,Pink,Teal,Small,Bandages,,Piercing,,https://gloom-rarity-page.vercel.app/punk/5689,https://solanart.io/search/?token=6ScKvAVPQrYhNfHMF72YNdsCzMSySzH35ShdkeE6ncR3
7792,1.14,370,960,Yellow,White,Ponytail Brown,Black,Blue,Worry,Bandages,Mushrooms,Gasmask Gunmetal,,https://gloom-rarity-page.vercel.app/punk/7792,https://solanart.io/search/?token=C2kihts9qyhgqAV9a6Ta27mLppXJY68brDPockA4QeDw
8899,1.7,115,235,Teal Flat,Black,Ponytail Teal,Pink,Blue,Worry,Bandages,Top Hat,Piercing,,https://gloom-rarity-page.vercel.app/punk/8899,https://solanart.io/search/?token=CChwPGeqwcBHZ7H1rQFqQTdukmSjSKrQ4E1xusmfTar8
6979,2,160,421,Pastel,White,Ponytail Teal,Pink Fangs,Purple,Worry,Tshirt,Mushrooms,Gasmask Gunmetal,,https://gloom-rarity-page.vercel.app/punk/6979,https://solanart.io/search/?token=D5BVAYLK3hQXUA1nr333pBaesZhhG8PnzpCvorNuRZnc
7818,1.8,186,817,Solana2,White,Bob Brown,Black Fangs,Blue,Arched,Turtleneck,Helix Hat,Gasmask Gunmetal,Monocle Regular,https://gloom-rarity-page.vercel.app/punk/7818,https://solanart.io/search/?token=6yeCocBUfX21qzjhaeR9v5gDqq1FPA3k3XdegatGqkwc
